Datum von;Datum bis;Netzlast [MWh] Originalauflösungen;Netzlast inkl. Pumpspeicher [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen
03.09.2025 19:45;03.09.2025 20:00;14.516,50;14.532,00;15,50;7.450,50
03.09.2025 20:00;03.09.2025 20:15;14.535,00;14.550,50;15,50;7.444,50
03.09.2025 20:15;03.09.2025 20:30;14.554,50;14.570,00;15,50;7.335,50
03.09.2025 20:30;03.09.2025 20:45;14.462,25;14.478,00;15,75;7.068,50
03.09.2025 20:45;03.09.2025 21:00;14.304,50;14.320,25;15,75;6.671,00
03.09.2025 21:00;03.09.2025 21:15;14.230,00;14.245,75;15,75;6.293,00
03.09.2025 21:15;03.09.2025 21:30;13.993,50;14.064,25;70,75;5.890,75
03.09.2025 21:30;03.09.2025 21:45;13.694,00;13.782,25;88,25;5.448,00
03.09.2025 21:45;03.09.2025 22:00;13.448,25;13.587,75;139,50;5.188,75
03.09.2025 22:00;03.09.2025 22:15;13.059,75;13.209,75;150,00;5.143,00
03.09.2025 22:15;03.09.2025 22:30;12.899,75;13.185,75;286,00;4.897,25
03.09.2025 22:30;03.09.2025 22:45;12.666,00;13.002,00;336,00;4.583,50
03.09.2025 22:45;03.09.2025 23:00;12.572,25;13.026,75;454,50;4.395,25
03.09.2025 23:00;03.09.2025 23:15;12.281,25;12.842,50;561,25;4.160,50
03.09.2025 23:15;03.09.2025 23:30;12.070,50;12.784,00;713,50;3.873,75
03.09.2025 23:30;03.09.2025 23:45;11.874,75;12.576,25;701,50;3.624,00
03.09.2025 23:45;04.09.2025 00:00;11.786,50;12.497,25;710,75;3.546,75
04.09.2025 00:00;04.09.2025 00:15;11.560,25;12.289,50;729,25;3.504,75
04.09.2025 00:15;04.09.2025 00:30;11.504,00;12.232,75;728,75;3.442,50
04.09.2025 00:30;04.09.2025 00:45;11.442,25;12.223,25;781,00;3.448,00
04.09.2025 00:45;04.09.2025 01:00;11.346,50;12.224,75;878,25;3.535,50
04.09.2025 01:00;04.09.2025 01:15;11.183,75;12.185,50;1.001,75;3.461,75
04.09.2025 01:15;04.09.2025 01:30;11.110,50;12.168,50;1.058,00;3.482,25
04.09.2025 01:30;04.09.2025 01:45;11.023,00;12.049,25;1.026,25;3.531,25
04.09.2025 01:45;04.09.2025 02:00;11.022,75;12.006,25;983,50;3.627,25
04.09.2025 02:00;04.09.2025 02:15;10.940,25;11.967,75;1.027,50;3.643,75
04.09.2025 02:15;04.09.2025 02:30;10.920,75;11.881,25;960,50;3.663,00
04.09.2025 02:30;04.09.2025 02:45;10.901,00;11.895,50;994,50;3.664,25
04.09.2025 02:45;04.09.2025 03:00;10.963,50;11.928,75;965,25;3.789,00
04.09.2025 03:00;04.09.2025 03:15;10.908,00;11.894,75;986,75;3.819,25
04.09.2025 03:15;04.09.2025 03:30;11.027,25;11.999,00;971,75;4.079,75
04.09.2025 03:30;04.09.2025 03:45;10.857,50;11.802,00;944,50;3.995,75
04.09.2025 03:45;04.09.2025 04:00;10.745,50;11.540,75;795,25;3.963,00
04.09.2025 04:00;04.09.2025 04:15;10.886,75;11.622,50;735,75;4.205,50
04.09.2025 04:15;04.09.2025 04:30;10.958,25;11.602,50;644,25;4.359,25
04.09.2025 04:30;04.09.2025 04:45;11.175,25;11.769,25;594,00;4.666,75
04.09.2025 04:45;04.09.2025 05:00;11.306,50;11.762,75;456,25;4.944,50
04.09.2025 05:00;04.09.2025 05:15;11.497,50;11.687,75;190,25;5.184,25
04.09.2025 05:15;04.09.2025 05:30;11.672,50;11.710,25;37,75;5.436,00
04.09.2025 05:30;04.09.2025 05:45;11.900,75;11.920,25;19,50;5.748,75
04.09.2025 05:45;04.09.2025 06:00;12.295,00;12.313,00;18,00;6.196,25
04.09.2025 06:00;04.09.2025 06:15;13.037,00;13.110,25;73,25;6.929,25
04.09.2025 06:15;04.09.2025 06:30;13.459,25;13.531,50;72,25;7.410,75
