Datum von;Datum bis;Generation_DE A9 [MW] Berechnete Auflösungen;Generation_DE A10 [MW] Berechnete Auflösungen;Generation_DE B9 [MW] Berechnete Auflösungen;Generation_DE B10 [MW] Berechnete Auflösungen
30.08.2025 02:30;30.08.2025 02:45;0,000;-;-;-
30.08.2025 02:45;30.08.2025 03:00;0,000;-;-;-
30.08.2025 03:00;30.08.2025 03:15;8,750;-;-;-
30.08.2025 03:15;30.08.2025 03:30;8,750;-;-;-
30.08.2025 03:30;30.08.2025 03:45;8,750;-;-;-
30.08.2025 03:45;30.08.2025 04:00;8,750;-;-;-
30.08.2025 04:00;30.08.2025 04:15;2,750;-;-;-
30.08.2025 04:15;30.08.2025 04:30;2,750;-;-;-
30.08.2025 04:30;30.08.2025 04:45;2,750;-;-;-
30.08.2025 04:45;30.08.2025 05:00;2,750;-;-;-
30.08.2025 05:00;30.08.2025 05:15;0,750;-;-;-
30.08.2025 05:15;30.08.2025 05:30;0,750;-;-;-
30.08.2025 05:30;30.08.2025 05:45;0,750;-;-;-
30.08.2025 05:45;30.08.2025 06:00;0,750;-;-;-
30.08.2025 06:00;30.08.2025 06:15;0,000;-;-;-
30.08.2025 06:15;30.08.2025 06:30;0,000;-;-;-
30.08.2025 06:30;30.08.2025 06:45;0,000;-;-;-
30.08.2025 06:45;30.08.2025 07:00;0,000;-;-;-
30.08.2025 07:00;30.08.2025 07:15;0,000;-;-;-
30.08.2025 07:15;30.08.2025 07:30;0,000;-;-;-
30.08.2025 07:30;30.08.2025 07:45;0,000;-;-;-
30.08.2025 07:45;30.08.2025 08:00;0,000;-;-;-
