Datum von;Datum bis;Generation_DE Block 7 [MW] Berechnete Auflösungen;Generation_DE Block 8 [MW] Berechnete Auflösungen;Generation_DE Block 8 Wasserturbine [MW] Berechnete Auflösungen;Generation_DE Block 4S GT [MW] Berechnete Auflösungen;Generation_DE Block 4S DT [MW] Berechnete Auflösungen
29.08.2025 04:45;29.08.2025 05:00;-;202,500;-;-;-
29.08.2025 05:00;29.08.2025 05:15;-;202,750;-;-;-
29.08.2025 05:15;29.08.2025 05:30;-;202,750;-;-;-
29.08.2025 05:30;29.08.2025 05:45;-;202,750;-;-;-
29.08.2025 05:45;29.08.2025 06:00;-;202,750;-;-;-
29.08.2025 06:00;29.08.2025 06:15;-;202,500;-;-;-
29.08.2025 06:15;29.08.2025 06:30;-;202,500;-;-;-
29.08.2025 06:30;29.08.2025 06:45;-;202,500;-;-;-
29.08.2025 06:45;29.08.2025 07:00;-;202,500;-;-;-
29.08.2025 07:00;29.08.2025 07:15;-;202,500;-;-;-
29.08.2025 07:15;29.08.2025 07:30;-;202,500;-;-;-
29.08.2025 07:30;29.08.2025 07:45;-;202,500;-;-;-
29.08.2025 07:45;29.08.2025 08:00;-;202,500;-;-;-
29.08.2025 08:00;29.08.2025 08:15;-;202,750;-;-;-
29.08.2025 08:15;29.08.2025 08:30;-;202,750;-;-;-
29.08.2025 08:30;29.08.2025 08:45;-;202,750;-;-;-
29.08.2025 08:45;29.08.2025 09:00;-;202,750;-;-;-
29.08.2025 09:00;29.08.2025 09:15;-;202,250;-;-;-
29.08.2025 09:15;29.08.2025 09:30;-;202,250;-;-;-
29.08.2025 09:30;29.08.2025 09:45;-;202,250;-;-;-
29.08.2025 09:45;29.08.2025 10:00;-;202,250;-;-;-
29.08.2025 10:00;29.08.2025 10:15;-;163,500;-;-;-
29.08.2025 10:15;29.08.2025 10:30;-;163,500;-;-;-
29.08.2025 10:30;29.08.2025 10:45;-;163,500;-;-;-
29.08.2025 10:45;29.08.2025 11:00;-;163,500;-;-;-
29.08.2025 11:00;29.08.2025 11:15;-;69,750;-;-;-
29.08.2025 11:15;29.08.2025 11:30;-;69,750;-;-;-
29.08.2025 11:30;29.08.2025 11:45;-;69,750;-;-;-
29.08.2025 11:45;29.08.2025 12:00;-;69,750;-;-;-
29.08.2025 12:00;29.08.2025 12:15;-;40,500;-;-;-
29.08.2025 12:15;29.08.2025 12:30;-;40,500;-;-;-
29.08.2025 12:30;29.08.2025 12:45;-;40,500;-;-;-
29.08.2025 12:45;29.08.2025 13:00;-;40,500;-;-;-
29.08.2025 13:00;29.08.2025 13:15;-;0,000;-;-;-
29.08.2025 13:15;29.08.2025 13:30;-;0,000;-;-;-
29.08.2025 13:30;29.08.2025 13:45;-;0,000;-;-;-
29.08.2025 13:45;29.08.2025 14:00;-;0,000;-;-;-
29.08.2025 14:00;29.08.2025 14:15;-;0,000;-;-;-
29.08.2025 14:15;29.08.2025 14:30;-;0,000;-;-;-
29.08.2025 14:30;29.08.2025 14:45;-;0,000;-;-;-
29.08.2025 14:45;29.08.2025 15:00;-;0,000;-;-;-
29.08.2025 15:00;29.08.2025 15:15;-;0,000;-;-;-
29.08.2025 15:15;29.08.2025 15:30;-;0,000;-;-;-
29.08.2025 15:30;29.08.2025 15:45;-;0,000;-;-;-
29.08.2025 15:45;29.08.2025 16:00;-;0,000;-;-;-
29.08.2025 16:00;29.08.2025 16:15;-;0,000;-;-;-
29.08.2025 16:15;29.08.2025 16:30;-;0,000;-;-;-
29.08.2025 16:30;29.08.2025 16:45;-;0,000;-;-;-
29.08.2025 16:45;29.08.2025 17:00;-;0,000;-;-;-
29.08.2025 17:00;29.08.2025 17:15;-;0,000;-;-;-
29.08.2025 17:15;29.08.2025 17:30;-;0,000;-;-;-
29.08.2025 17:30;29.08.2025 17:45;-;0,000;-;-;-
29.08.2025 17:45;29.08.2025 18:00;-;0,000;-;-;-
29.08.2025 18:00;29.08.2025 18:15;-;0,000;-;-;-
29.08.2025 18:15;29.08.2025 18:30;-;0,000;-;-;-
29.08.2025 18:30;29.08.2025 18:45;-;0,000;-;-;-
29.08.2025 18:45;29.08.2025 19:00;-;0,000;-;-;-
29.08.2025 19:00;29.08.2025 19:15;-;0,000;-;-;-
29.08.2025 19:15;29.08.2025 19:30;-;0,000;-;-;-
29.08.2025 19:30;29.08.2025 19:45;-;0,000;-;-;-
29.08.2025 19:45;29.08.2025 20:00;-;0,000;-;-;-
29.08.2025 20:00;29.08.2025 20:15;-;0,000;-;-;-
29.08.2025 20:15;29.08.2025 20:30;-;0,000;-;-;-
29.08.2025 20:30;29.08.2025 20:45;-;0,000;-;-;-
29.08.2025 20:45;29.08.2025 21:00;-;0,000;-;-;-
29.08.2025 21:00;29.08.2025 21:15;-;0,000;-;-;-
29.08.2025 21:15;29.08.2025 21:30;-;0,000;-;-;-
29.08.2025 21:30;29.08.2025 21:45;-;0,000;-;-;-
29.08.2025 21:45;29.08.2025 22:00;-;0,000;-;-;-
29.08.2025 22:00;29.08.2025 22:15;-;0,000;-;-;-
29.08.2025 22:15;29.08.2025 22:30;-;0,000;-;-;-
29.08.2025 22:30;29.08.2025 22:45;-;0,000;-;-;-
29.08.2025 22:45;29.08.2025 23:00;-;0,000;-;-;-
29.08.2025 23:00;29.08.2025 23:15;-;0,000;-;-;-
29.08.2025 23:15;29.08.2025 23:30;-;0,000;-;-;-
29.08.2025 23:30;29.08.2025 23:45;-;0,000;-;-;-
29.08.2025 23:45;30.08.2025 00:00;-;0,000;-;-;-
